country,year_2017,year_2018,year_2019,year_2020,year_2021
Australia,15.06,15.43,15.46,0,0
Canada,22.01,20.68,19.38,18.67,19.54
Denmark,8.52,8.73,0,0,0
France,0,7.74,0,0,0
Germany,18.21,17.83,17.64,16.98,0
Italy,0,3.71,4.89,0,0
Japan,12.32,12.12,11.79,10.88,10.66
Korea,22.3,19.04,16.96,15.96,15.63
Norway,0,0,0,0,0
Sweden,0,0,0,0,0
Switzerland,0,12.12,0,12,0
United Kingdom,18.98,18.96,18.06,18.02,16.66
United States,24.5,24.07,23.38,23.81,22.69
